test_id,description_x,description_y,same_security,seq_match
0,semtech corp,semtech corporation,True,0.7741935483870968
1,vanguard mid cap index,vanguard midcap index - a,True,0.8936170212765957
2,spdr gold trust gold shares,spdr gold trust spdr gold shares,True,0.9152542372881356
3,vanguard total bond index adm,vanguard total bond market index,True,0.819672131147541
4,oakmark international fund class i,oakmark international cl i,True,0.8666666666666667
5,pfizer inc div: .,pfizer inc com,True,0.7096774193548387
6,spartan global ex us index fid adv cl,sptn glb xus idx adv,True,0.7017543859649122
7,vanguard total bond market idx-adm,vanguard total bond market index fund investor shares,True,0.7126436781609196
8,banco latinoamericano de exportacio class e com stk npv,banco latinoamericano come-e,True,0.6024096385542169
9,baidu inc fadr  adr reps . ord shs,baidu inc spons ads repr . ord cls a us.,True,0.7027027027027027
10,whole foods market,whole foods markets inc div: .,True,0.75
11,walgreens boots alliance inc com,walgreens boots alli,True,0.7692307692307693
12,diageo plc new gb spon adr,diageo p l c spon adr new,True,0.7450980392156863
13,guggenheim bulletshares ,guggenheim bulletshares  high yield,True,0.8135593220338984
14,vanguard small-cap index adm,vanguard small-cap index fund inst,True,0.8387096774193549
15,emerging markets,vanguard ftse emerging marke,True,0.6363636363636364
16,spdr s&p  etf iv,s&p  index spdr,False,0.45161290322580644
17,tegna inc com,tegna inc,True,0.8181818181818182
18,deere & company,deere co,True,0.6956521739130435
19,vanguard mid-cap index,vanguard mid-cap index fund institutional plus shares,True,0.5866666666666667
20,jpmorgan chase & co div: .,jpmorgan chase & co,True,0.8444444444444444
21,american funds europacific growth fund - r,af europac growth r,True,0.6229508196721312
22,vanguard total bond market idx-adm,vang tot bd mk is pl,True,0.5925925925925926
23,unitedhealth gp inc div: .,unitedhealth group incorporated,True,0.7017543859649122
24,american intl group inc warrant //,american intl gro  wtswarrants exp //,True,0.8169014084507042
25,fifth street finance corp com,fifth street financial corp com,True,0.9333333333333333
26,ishares jpm embi global core,ishares jpm usd emrg mkt bnd etf,True,0.5666666666666667
27,metwest tot rtn bd m,metropolitan west tot ret bond,True,0.68
28,exelixis inc com,exelixis inc,True,0.8571428571428571
29,glenmede large cap gwth,glenmede large cap growth,True,0.9583333333333334
30,af europac growth r,american funds europacific growth r,True,0.7037037037037037
31,dreamworks animation skg cl a,dreamworks animation skg inc cl a,True,0.9354838709677419
32,dfa us small cap value port instl,dfa u s small cap value cl i,True,0.819672131147541
33,vanguard ltd-trm t/e adm,vanguard limited-term tax-exempt fund,True,0.6885245901639344
34,ishares trust msci united kingdom etf,ishares msci u k etf shs,True,0.6557377049180327
35,pimco total return cl a,pimco total return fund adm,True,0.84
36,amg yacktman fund service class,amg yacktman service,True,0.7843137254901961
37,vanguard intermediate-term treasury fund admiral shares,vang intm treas adm,True,0.5135135135135135
38,pimco incm cl d,pimco fds income instl,True,0.6486486486486487
39,vanguard growth index fund investor shares,vang growth idx adm,True,0.5573770491803278
40,vanguard mid cap index,vanguard mid-cap index fund admiral shares,True,0.65625
41,vanguard value index fund institutional shares,vanguard value index inv,True,0.6571428571428571
42,vanguard target retirement  fund,vanguard tgt rtrmnt ,True,0.7692307692307693
43,netflix inc,netflix inc.,True,0.9565217391304348
44,cisco sys inc com,cisco sys inc,True,0.8666666666666667
45,pimco income fund cl p,pimco income fd i,True,0.8205128205128205
46,united parcel service-cl b,united parcel svc inc cl b,True,0.8461538461538461
47,michael kors holdings ltd com npv,michael kors hldgs ltd,True,0.8
48,alaska air group inc com,alaska air group inc,True,0.9090909090909091
49,vanguard total bond market index adm,vanguard ttl bnd mrk indx inst,True,0.7878787878787878
50,vanguard intermediate-term investment-grade fund admiral shares,vanguard intermediate term inv gr fd inv cl,True,0.6981132075471698
51,oppenhmr develpng mkts y,oppenheimer developing markets cl y,True,0.8135593220338984
52,texas instrs incorporated,texas instruments inc,True,0.6956521739130435
53,sptn intl index fai,spartan intl index fid adv class,True,0.7058823529411765
54,heartland pmt sys inc com,heartland paymnt sys,True,0.7555555555555555
